央视频道,#genre#
CCTV1,http://go.bkpcp.top/mg/cctv1#http://183.94.91.187:8123/udp/228.0.0.1:6108 
CCTV2,http://go.bkpcp.top/mg/cctv2#http://183.94.91.187:8123/udp/228.0.0.2:6108 
CCTV3,http://go.bkpcp.top/mg/cctv3#http://183.94.91.187:8123/udp/228.0.0.156:7156 
CCTV4,http://go.bkpcp.top/mg/cctv4#http://183.94.91.187:8123/udp/228.0.0.143:7143 
CCTV5,http://go.bkpcp.top/mg/cctv5#http://183.94.91.187:8123/udp/228.0.0.112:6108
CCTV5+,http://go.bkpcp.top/mg/cctv5p#http://183.94.91.187:8123/udp/228.0.0.17:6108 
CCTV6,http://go.bkpcp.top/mg/cctv6#http://183.94.91.187:8123/udp/228.0.0.157:7157
CCTV7,http://go.bkpcp.top/mg/cctv7#http://183.94.91.187:8123/udp/228.0.0.7:6108 
CCTV8,http://go.bkpcp.top/mg/cctv8#http://183.94.91.187:8123/udp/228.0.0.158:7158
CCTV9,http://go.bkpcp.top/mg/cctv9#http://183.94.91.187:8123/udp/228.0.0.9:6108
CCTV10,http://go.bkpcp.top/mg/cctv10#http://183.94.91.187:8123/udp/228.0.0.10:6108 
CCTV11,http://go.bkpcp.top/mg/cctv11#http://183.94.91.187:8123/udp/228.0.0.242:6108
CCTV12,http://go.bkpcp.top/mg/cctv12#http://183.94.91.187:8123/udp/228.0.0.12:6108 
CCTV13,http://go.bkpcp.top/mg/cctv13#http://183.94.91.187:8123/udp/228.0.0.202:6108 
CCTV14,http://go.bkpcp.top/mg/cctv14#http://183.94.91.187:8123/udp/228.0.0.14:6108
CCTV15,http://go.bkpcp.top/mg/cctv15#http://183.94.91.187:8123/udp/228.0.0.15:6108
CCTV16,http://go.bkpcp.top/mg/cctv16#http://183.94.91.187:8123/udp/228.0.0.249:6108
CCTV17,http://go.bkpcp.top/mg/cctv17#

卫视频道,#genre#
河南卫视,http://go.bkpcp.top/mg/hnws#http://183.94.91.187:8123/udp/228.0.0.230:6108
湖南卫视,http://go.bkpcp.top/mg/hunws#http://183.94.91.187:8123/udp/228.0.0.61:6108 
湖北卫视,http://go.bkpcp.top/mg/hubws#http://183.94.91.187:8123/udp/228.0.0.60:6108#http://183.94.91.187:8123/udp/228.0.0.232:6108 
浙江卫视,http://go.bkpcp.top/mg/zjws#http://183.94.91.187:8123/udp/228.0.0.65:6108 
江苏卫视,http://go.bkpcp.top/mg/jsws#http://183.94.91.187:8123/udp/228.0.0.64:6108 
东方卫视,http://go.bkpcp.top/mg/dfws#http://183.94.91.187:8123/udp/228.0.0.62:6108
北京卫视,http://go.bkpcp.top/mg/bjws#http://183.94.91.187:8123/udp/228.0.0.63:6108
广东卫视,http://go.bkpcp.top/mg/gdws#http://183.94.91.187:8123/udp/228.0.0.66:6108 
深圳卫视,http://go.bkpcp.top/mg/szws#http://183.94.91.187:8123/udp/228.0.0.67:6108 
黑龙江视,http://go.bkpcp.top/mg/hljws#http://183.94.91.187:8123/udp/228.0.0.68:6108 
天津卫视,http://183.94.91.187:8123/udp/228.0.0.120:6108
山东卫视,http://go.bkpcp.top/mg/sdws#http://183.94.91.187:8123/udp/228.0.0.121:6108
安徽卫视,http://183.94.91.187:8123/udp/228.0.0.122:6108
辽宁卫视,http://183.94.91.187:8123/udp/228.0.0.123:6108
东南卫视,http://183.94.91.187:8123/udp/228.0.0.144:7144
江西卫视,http://go.bkpcp.top/mg/jxws#http://183.94.91.187:8123/udp/228.0.0.147:7147
重庆卫视,http://183.94.91.187:8123/udp/228.0.0.159:7159
贵州卫视,http://183.94.91.187:8123/udp/228.0.0.160:7160
宁夏卫视,http://183.94.91.187:8123/udp/228.0.0.30:6108
广西卫视,http://183.94.91.187:8123/udp/228.0.0.37:6108
四川卫视,http://183.94.91.187:8123/udp/228.0.0.231:6108
吉林卫视,http://183.94.91.187:8123/udp/228.0.0.45:6108
山西卫视,http://183.94.91.187:8123/udp/228.0.0.47:6108
云南卫视,http://183.94.91.187:8123/udp/228.0.0.48:6108
海南卫视,http://go.bkpcp.top/mg/hinws#http://183.94.91.187:8123/udp/228.0.0.165:7165
陕西卫视,http://go.bkpcp.top/mg/sxws#http://183.94.91.187:8123/udp/228.0.0.56:6108 
兵团卫视,http://go.bkpcp.top/mg/btws#https://liveout.btzx.com.cn/62ds9e/yil08g.m3u8 
西藏卫视,http://183.94.91.187:8123/udp/228.0.0.51:6108
内蒙古卫视,http://183.94.91.187:8123/udp/228.0.0.52:6108
新疆卫视,http://183.94.91.187:8123/udp/228.0.0.53:6108
青海卫视,http://183.94.91.187:8123/udp/228.0.0.54:6108
河北卫视,http://183.94.91.187:8123/udp/228.0.0.168:7168
陕西卫视,http://183.94.91.187:8123/udp/228.0.0.56:6108
甘肃卫视,http://183.94.91.187:8123/udp/228.0.0.57:6108
卡酷动画,http://183.94.91.187:8123/udp/228.0.0.58:6108#http://27.19.202.204:2701/rtp/239.69.1.193:10800
金鹰卡通,http://183.94.91.187:8123/udp/228.0.0.59:6108
金鹰纪实,http://183.94.91.187:8123/udp/228.0.0.145:7145
中国教育,http://183.94.91.187:8123/udp/228.0.0.146:7146
三沙卫视,http://183.94.91.187:8123/udp/228.0.0.174:7174
中国教育,http://183.94.91.187:8123/udp/228.0.0.177:7177
4K超高清,http://ydl.yueyaoxian.top:8686/rtp/239.3.1.249:8001
